,version,UnitsRes,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AssessLand,AssessTot,ExemptLand,ExemptTot,FIRM07_FLAG,PFIRM15_FLAG
0,18v1,3555871.0,6815805618.0,5484764761.0,1816284054.0,3470204025.0,652968426.0,276388698.0,122406091.0,102263027.0,116348116.0,524094223.0,97799178902.0,395591819541.0,44142267420.0,142207700881.0,34562.0,65618.0
1,18v2.1,3572157.0,6813541766.1043005,5504286258.0,1820455165.0,3477582155.0,654410227.0,276896354.0,120942956.0,100257225.0,116612843.0,524200834.0,97826641850.0,393651958042.0,44562738251.0,144624452976.0,34683.0,65688.0
2,19v1,3672400.0,6834626982.6449995,5653128988.6455,1826756741.0,3488915360.0,658083625.0,276478137.0,121189885.0,99740459.0,116553134.0,527118742.0,113752672899.0,476599992620.0,,166569497989.0,34951.0,65712.0
